,text,FINAL_LABEL
0,i saw someone under that tweet say no taxes no check sir pls choke on your tongue la gente solo habla para hablar,IRRELEVANT
0,i saw someone under that tweet say no taxes no check sir pls choke on your tongue la gente solo habla para hablar,IRRELEVANT
1,scientists confirm first case of covid 19 transmitted from corpse via,RELEVANT
1,scientists confirm first case of covid 19 transmitted from corpse via,IRRELEVANT
2,the new requirements are bound to make face coverings an inescapable and perhaps jarring sight in new york city fo,IRRELEVANT
2,the new requirements are bound to make face coverings an inescapable and perhaps jarring sight in new york city fo,IRRELEVANT
3,nan,IRRELEVANT
3,nan,IRRELEVANT
4,attention smallbizdc community join dslbd and for the small business community teletownha,IRRELEVANT
4,attention smallbizdc community join dslbd and for the small business community teletownha,IRRELEVANT
5,and i want my face in some pussy,IRRELEVANT
5,and i want my face in some pussy,IRRELEVANT
6,over two million people did and they are laughing too,IRRELEVANT
6,over two million people did and they are laughing too,IRRELEVANT
7,today signs in state tuition for undocumented students at public universities into law thank you,IRRELEVANT
7,today signs in state tuition for undocumented students at public universities into law thank you,IRRELEVANT
8,college coaches bringing your spring eval period to you meet marqeese dietz 2021 ath contact,IRRELEVANT
8,college coaches bringing your spring eval period to you meet marqeese dietz 2021 ath contact,IRRELEVANT
9,please donate to feed the front lines as supports health care heroes and small businesses across,IRRELEVANT
9,please donate to feed the front lines as supports health care heroes and small businesses across,IRRELEVANT
10,for easter sunday father planning and three of his fellow jesuits celebrated mass in our lady s chapel on eye st,IRRELEVANT
10,for easter sunday father planning and three of his fellow jesuits celebrated mass in our lady s chapel on eye st,IRRELEVANT
11,tati just gon sit in her damn vomit and start eating ole stank breath bih blackinkcrew,IRRELEVANT
11,tati just gon sit in her damn vomit and start eating ole stank breath bih blackinkcrew,IRRELEVANT
12,nbs i look at 3 stories and be irritated close the whole damn app,IRRELEVANT
12,nbs i look at 3 stories and be irritated close the whole damn app,IRRELEVANT
13,may god give you peace n ability to absorb this shock,IRRELEVANT
13,may god give you peace n ability to absorb this shock,IRRELEVANT
14,panda pandaexpress college park maryland,IRRELEVANT
14,panda pandaexpress college park maryland,IRRELEVANT
15,we get so much shit just for existing,IRRELEVANT
15,we get so much shit just for existing,IRRELEVANT
16,they funny af talking about lebron was on live calling his sons niggas how tf black was y all household grow,IRRELEVANT
16,they funny af talking about lebron was on live calling his sons niggas how tf black was y all household grow,IRRELEVANT
17,crying at the weird people at the end,IRRELEVANT
17,crying at the weird people at the end,IRRELEVANT
18,on this date jerry dewayne plaster disappeared on april 16 1988 from manassas va after he was dropped him off,IRRELEVANT
18,on this date jerry dewayne plaster disappeared on april 16 1988 from manassas va after he was dropped him off,IRRELEVANT
19,big news you can access washington consumers checkbook from home with your card it s the le,IRRELEVANT
19,big news you can access washington consumers checkbook from home with your card it s the le,IRRELEVANT
20,during the daily conference of president doctor undersecretary mx announced t,IRRELEVANT
20,during the daily conference of president doctor undersecretary mx announced t,IRRELEVANT
21,nan,IRRELEVANT
21,nan,IRRELEVANT
22,happy easter we wish you and your family health let s go team forall cfcmd easter2020 stayhome,IRRELEVANT
22,happy easter we wish you and your family health let s go team forall cfcmd easter2020 stayhome,IRRELEVANT
23,empty lake empty streets the sun goes down alone boys of summer but also covid19,IRRELEVANT
23,empty lake empty streets the sun goes down alone boys of summer but also covid19,IRRELEVANT
24,supermarket oh what packet of crackers to pick they re all the same one brand one name but really they re,IRRELEVANT
24,supermarket oh what packet of crackers to pick they re all the same one brand one name but really they re,RELEVANT
25,eating food my mother brung me,IRRELEVANT
25,eating food my mother brung me,RELEVANT
26,living by example i ve been an emotional eater as long as i can remember that doesn t change overnig,IRRELEVANT
26,living by example i ve been an emotional eater as long as i can remember that doesn t change overnig,IRRELEVANT
27,mi sneak p k l k what the easter bunny just dropped off hoppy easter 804 382 8176 gracie s is off,IRRELEVANT
27,mi sneak p k l k what the easter bunny just dropped off hoppy easter 804 382 8176 gracie s is off,IRRELEVANT
28,mi sale 225 60 wide 20 deep 36 tall tonight only ends 10p 4 15 call to purchase 804 564 6717 gracie,IRRELEVANT
28,mi sale 225 60 wide 20 deep 36 tall tonight only ends 10p 4 15 call to purchase 804 564 6717 gracie,IRRELEVANT
29,mi whos thinking mother s day every mother needs a beautiful jewerly armoire with tons of storage for all of h,IRRELEVANT
29,mi whos thinking mother s day every mother needs a beautiful jewerly armoire with tons of storage for all of h,IRRELEVANT
30,usa numbers infections 560 300 27 421 dead 22 105 1 528 sunday april 12 2020 the us cele,RELEVANT
30,usa numbers infections 560 300 27 421 dead 22 105 1 528 sunday april 12 2020 the us cele,RELEVANT
31,giveaway winner gets my blue hennessy painting for free just pay shipping r u l e z,IRRELEVANT
31,giveaway winner gets my blue hennessy painting for free just pay shipping r u l e z,RELEVANT
32,follow us contact us wechat whatsapp 86 185 88680844 cargoship google shippingport seafreight,IRRELEVANT
32,follow us contact us wechat whatsapp 86 185 88680844 cargoship google shippingport seafreight,IRRELEVANT
33,healthy old town north alexandria,IRRELEVANT
33,healthy old town north alexandria,IRRELEVANT
34,self care check point drink water wash your face block your toxic ex go get some sleep,IRRELEVANT
34,self care check point drink water wash your face block your toxic ex go get some sleep,RELEVANT
35,i m satisfied by james brown from soundhound,IRRELEVANT
35,i m satisfied by james brown from soundhound,IRRELEVANT
36,now you had some very good people some very bad people but some very good people on both sides,IRRELEVANT
36,now you had some very good people some very bad people but some very good people on both sides,RELEVANT
37,self care packages due to the overwhelming response i m scaling up production of the selfcarepackages to sever,IRRELEVANT
37,self care packages due to the overwhelming response i m scaling up production of the selfcarepackages to sever,RELEVANT
38,new spring items up clothing designed to help you increase your income shop link in,IRRELEVANT
38,new spring items up clothing designed to help you increase your income shop link in,IRRELEVANT
39,come in with me she urges the simple to those who lack good judgment she says come eat my food and drink,IRRELEVANT
39,come in with me she urges the simple to those who lack good judgment she says come eat my food and drink,IRRELEVANT
40,i get 9000 a month plus free childcare sucks that you only get 2 and gotta take a loan out to see a doctor i,IRRELEVANT
40,i get 9000 a month plus free childcare sucks that you only get 2 and gotta take a loan out to see a doctor i,IRRELEVANT
41,i don t even know if i have a social security number livvie,IRRELEVANT
41,i don t even know if i have a social security number livvie,RELEVANT
42,top of the head hardest part of the body going to watch gladiator tonight,IRRELEVANT
42,top of the head hardest part of the body going to watch gladiator tonight,RELEVANT
43,this index finger smells oddly like pandemic odd,IRRELEVANT
43,this index finger smells oddly like pandemic odd,IRRELEVANT
44,nan,IRRELEVANT
44,nan,IRRELEVANT
45,when we lose sight of evil forces at work in the world we may become overly confident in our own abilities to con,IRRELEVANT
45,when we lose sight of evil forces at work in the world we may become overly confident in our own abilities to con,IRRELEVANT
46,nan,IRRELEVANT
46,nan,IRRELEVANT
47,there are so many conditions to unconditional love,IRRELEVANT
47,there are so many conditions to unconditional love,IRRELEVANT
48,then the angel spoke to the women don t be afraid he said i know you are looking for jesus who was crucifie,IRRELEVANT
48,then the angel spoke to the women don t be afraid he said i know you are looking for jesus who was crucifie,IRRELEVANT
49,the worst thing about the isolation is that no one hears me joe biden on people feeling ignored by our leader,IRRELEVANT
49,the worst thing about the isolation is that no one hears me joe biden on people feeling ignored by our leader,IRRELEVANT
50,the plan would have all 30 teams return to their spring training sites in either florida or arizona teams would p,IRRELEVANT
50,the plan would have all 30 teams return to their spring training sites in either florida or arizona teams would p,IRRELEVANT
51,nan,IRRELEVANT
51,nan,IRRELEVANT
52,the eyes don t see what the mind doesn t know washington d c,IRRELEVANT
52,the eyes don t see what the mind doesn t know washington d c,RELEVANT
53,nan,IRRELEVANT
53,nan,IRRELEVANT
54,stay close to people who feel like sunshine,IRRELEVANT
54,stay close to people who feel like sunshine,RELEVANT
55,spread love it s the brooklyn way biggie smalls aka the only christopher we acknowledge is wallace,IRRELEVANT
55,spread love it s the brooklyn way biggie smalls aka the only christopher we acknowledge is wallace,RELEVANT
56,some folks name one person that would intentionally sacrifice their child for the economy dr oz has official,IRRELEVANT
56,some folks name one person that would intentionally sacrifice their child for the economy dr oz has official,IRRELEVANT
57,so what you marched with king that was over 20 years ago people are catching hell all over the place i wonder,IRRELEVANT
57,so what you marched with king that was over 20 years ago people are catching hell all over the place i wonder,IRRELEVANT
58,so one shortcoming of the online mass is that it lacks a congregation even more obviously it lacks the presence,IRRELEVANT
58,so one shortcoming of the online mass is that it lacks a congregation even more obviously it lacks the presence,IRRELEVANT
59,sleep hygiene strikes me as one of the weirder terms in the health literature,IRRELEVANT
59,sleep hygiene strikes me as one of the weirder terms in the health literature,IRRELEVANT
60,she like it rough when we fuck so i m grabbing that bitch by the throat,IRRELEVANT
60,she like it rough when we fuck so i m grabbing that bitch by the throat,IRRELEVANT
61,people should reward the best corporate actors some stores chains are stepping up in other words vote with your,IRRELEVANT
61,people should reward the best corporate actors some stores chains are stepping up in other words vote with your,IRRELEVANT
62,opportunity is missed by most people because it is dressed in overalls and looks like work thomas edison if y,IRRELEVANT
62,opportunity is missed by most people because it is dressed in overalls and looks like work thomas edison if y,IRRELEVANT
63,nan,IRRELEVANT
63,nan,IRRELEVANT
64,o death where is thy sting o grave where is thy victory 1 corinthians 15 55 peace and blessings to you and,IRRELEVANT
64,o death where is thy sting o grave where is thy victory 1 corinthians 15 55 peace and blessings to you and,IRRELEVANT
65,nan,IRRELEVANT
65,nan,IRRELEVANT
66,makin my way downtown walkin fast faces pass and i m homebound,IRRELEVANT
66,makin my way downtown walkin fast faces pass and i m homebound,RELEVANT
67,if you look at a dancer in silence his or her body will be the music if you turn the music on that body will be,IRRELEVANT
67,if you look at a dancer in silence his or her body will be the music if you turn the music on that body will be,IRRELEVANT
68,i have said these things to you that in me you may have peace in the world you will have tribulation but take h,IRRELEVANT
68,i have said these things to you that in me you may have peace in the world you will have tribulation but take h,IRRELEVANT
69,i don t care what them don t know god folks do at yo job theclarksisters,IRRELEVANT
69,i don t care what them don t know god folks do at yo job theclarksisters,IRRELEVANT
70,i come from a community in williamsburg where women are not allowed to sing in public unorthodoxnetflix,IRRELEVANT
70,i come from a community in williamsburg where women are not allowed to sing in public unorthodoxnetflix,IRRELEVANT
71,nan,IRRELEVANT
71,nan,IRRELEVANT
72,greatness can t be achieved by perfection richshaad ryan ordinary art for extraordinary people,IRRELEVANT
72,greatness can t be achieved by perfection richshaad ryan ordinary art for extraordinary people,IRRELEVANT
73,compassionate caretaker isn t an urgent enough message for our times,IRRELEVANT
73,compassionate caretaker isn t an urgent enough message for our times,IRRELEVANT
74,chinese diplomacy increasingly reflects the interests of its people it was america that opened world trade to,IRRELEVANT
74,chinese diplomacy increasingly reflects the interests of its people it was america that opened world trade to,IRRELEVANT
75,chicken noodle soup choppa cook a nigga shit up or like fredo do alfredo food druuuuuuu tomato soup,IRRELEVANT
75,chicken noodle soup choppa cook a nigga shit up or like fredo do alfredo food druuuuuuu tomato soup,IRRELEVANT
76,nan,IRRELEVANT
76,nan,IRRELEVANT
77,art in quarantine heroes on the front lines support doctors and nurses who are fighting the covid 19 digital,IRRELEVANT
77,art in quarantine heroes on the front lines support doctors and nurses who are fighting the covid 19 digital,IRRELEVANT
78,all y all wanna do is laugh laugh laugh laugh at my pain saucy santana,IRRELEVANT
78,all y all wanna do is laugh laugh laugh laugh at my pain saucy santana,IRRELEVANT
79,actually rbg and sotomayor are bad is certainly a uh take of a particular temperature cc,IRRELEVANT
79,actually rbg and sotomayor are bad is certainly a uh take of a particular temperature cc,IRRELEVANT
80,a lot of people are getting older but not growing up,IRRELEVANT
80,a lot of people are getting older but not growing up,IRRELEVANT
81,are remaining open to serve our communities under the guidance of health officials,IRRELEVANT
81,are remaining open to serve our communities under the guidance of health officials,RELEVANT
82,nan,IRRELEVANT
82,nan,RELEVANT
83,we want to flood media channels what s next for the un s covid 19 creative open brief via,IRRELEVANT
83,we want to flood media channels what s next for the un s covid 19 creative open brief via,IRRELEVANT
84,y all really be eating coleslaw,IRRELEVANT
84,y all really be eating coleslaw,IRRELEVANT
